County,High Ozone Day Grade,Ozone Wgt. Avg.,Ozone Orange Days,Ozone Red Days,Ozone Purple Days,GEOID,Particle Pollution Grade,Particle Pollution Wgt. Avg.,Particle Pollution Orange Days,Particle Pollution Red Days,Particle Pollution Purple Days,Particle Pollution Maroon Days,Particle Pollution Particle Pollution Grade (Annual),Particle Pollution Design Value,Total Pop,Under 18,65 & Over,Pediatric Asthma,Adult Asthma,COPD,Lung Cancer,CV Disease,Ever Smoker,Poverty Estimate,Non White
Hopewell City,DNC,DNC,DNC,DNC,DNC,51670,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"22,596","5,867","3,546",419,"1,426","1,086",12,"1,410","6,357","4,381","12,332"
Isle of Wight,DNC,DNC,DNC,DNC,DNC,51093,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"36,953","7,681","7,075",549,"2,490","2,074",21,"2,757","11,438","3,368","10,986"
James City,DNC,DNC,DNC,DNC,DNC,51095,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"76,397","15,282","19,301","1,093","5,109","4,613",43,"6,425","24,338","5,288","18,678"
King George,DNC,DNC,DNC,DNC,DNC,51099,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"26,575","6,621","3,476",473,"1,717","1,258",15,"1,583","7,525","1,786","7,065"
King William,DNC,DNC,DNC,DNC,DNC,51101,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"16,939","3,909","2,728",279,"1,114",870,9,"1,128","4,998","1,223","3,889"
King and Queen,DNC,DNC,DNC,DNC,DNC,51097,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"7,042","1,236","1,612",88,490,430,4,585,"2,300",858,"2,417"
Lancaster,DNC,DNC,DNC,DNC,DNC,51103,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"10,783","1,723","3,896",123,739,780,6,"1,148","3,772","1,306","3,583"
Lee,DNC,DNC,DNC,DNC,DNC,51105,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"23,541","4,412","5,026",315,"1,617","1,361",13,"1,835","7,479","5,461","1,627"
Lexington City,DNC,DNC,DNC,DNC,DNC,51678,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"7,136",669,"1,156",47,549,338,4,422,"2,307","1,046","1,266"
Loudoun,B,0.3,1,0,0,51107,A,0,0,0,0,0,Pass,7.1,"406,850","115,028","37,802","8,232","25,338","17,140",234,"20,641","107,899","14,700","181,773"
Louisa,DNC,DNC,DNC,DNC,DNC,51109,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"36,778","7,407","7,284",530,"2,495","2,099",21,"2,802","11,508","4,140","8,097"
Lunenburg,DNC,DNC,DNC,DNC,DNC,51111,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"12,086","2,243","2,697",160,830,708,7,962,"3,861","2,008","4,909"
Lynchburg City,DNC,DNC,DNC,DNC,DNC,51680,A,0,0,0,0,0,Pass,6.5,"82,126","15,946","11,823","1,141","5,651","3,730",46,"4,676","24,115","14,789","30,887"
Madison,B,0.3,1,0,0,51113,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"13,295","2,706","2,959",193,893,782,7,"1,066","4,192","1,330","2,060"
Manassas City,DNC,DNC,DNC,DNC,DNC,51683,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"41,641","11,234","4,320",804,"2,629","1,776",24,"2,162","11,218","3,451","24,898"
Manassas Park City,DNC,DNC,DNC,DNC,DNC,51685,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"17,307","3,918","1,384",280,"1,166",731,10,850,"4,852","1,203","11,741"
Martinsville City,DNC,DNC,DNC,DNC,DNC,51690,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"12,902","3,194","2,442",228,823,684,7,915,"3,784","3,098","7,250"
Mathews,DNC,DNC,DNC,DNC,DNC,51115,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"8,802","1,360","2,734",97,616,606,5,866,"3,040",812,"1,294"
Mecklenburg,DNC,DNC,DNC,DNC,DNC,51117,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"30,650","5,681","7,858",406,"2,090","1,908",17,"2,655","9,989","5,565","12,267"
Middlesex,DNC,DNC,DNC,DNC,DNC,51119,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"10,769","1,764","3,353",126,745,738,6,"1,058","3,688","1,317","2,425"
Montgomery,DNC,DNC,DNC,DNC,DNC,51121,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"98,985","15,305","12,475","1,095","7,190","4,524",57,"5,496","30,170","21,444","16,292"
Nelson,DNC,DNC,DNC,DNC,DNC,51125,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,836","2,632","4,053",188,"1,018",954,8,"1,339","4,918","1,814","2,757"
New Kent,DNC,DNC,DNC,DNC,DNC,51127,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"22,391","4,489","3,860",321,"1,530","1,221",12,"1,592","6,913","1,132","4,888"
Newport News City,DNC,DNC,DNC,DNC,DNC,51700,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"178,626","41,279","23,341","2,954","11,792","8,135",102,"10,159","50,815","26,007","102,617"
Norfolk City,DNC,DNC,DNC,DNC,DNC,51710,A,0,0,0,0,0,Pass,6.7,"244,076","47,785","27,334","3,419","16,914","10,590",141,"12,740","70,763","41,471","138,496"
Northampton,DNC,DNC,DNC,DNC,DNC,51131,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"11,735","2,301","3,098",164,787,733,6,"1,028","3,795","2,167","5,354"
Northumberland,DNC,DNC,DNC,DNC,DNC,51133,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"12,147","1,764","4,456",126,848,895,6,"1,316","4,326","1,790","3,753"
Norton City,DNC,DNC,DNC,DNC,DNC,51720,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"3,968",793,740,56,269,210,2,277,"1,213",811,589
Nottoway,DNC,DNC,DNC,DNC,DNC,51135,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"15,420","2,947","2,959",210,"1,059",845,8,"1,119","4,801","2,952","7,089"
Orange,DNC,DNC,DNC,DNC,DNC,51137,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"36,644","7,722","7,464",552,"2,448","2,049",21,"2,753","11,292","3,387","8,169"
Page,DNC,DNC,DNC,DNC,DNC,51139,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"23,933","4,757","5,113",340,"1,621","1,386",13,"1,874","7,538","3,293","1,454"
Patrick,DNC,DNC,DNC,DNC,DNC,51141,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"17,673","3,078","4,667",220,"1,221","1,138",10,"1,587","5,880","2,683","1,853"
Petersburg City,DNC,DNC,DNC,DNC,DNC,51730,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"31,567","7,133","5,355",510,"2,082","1,615",17,"2,109","9,336","7,491","26,893"
Pittsylvania,DNC,DNC,DNC,DNC,DNC,51143,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"60,949","11,523","13,790",824,"4,171","3,657",35,"4,980","19,574","9,815","15,912"
Poquoson City,DNC,DNC,DNC,DNC,DNC,51735,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"12,190","2,699","2,360",193,805,667,7,890,"3,697",618,"1,089"
Portsmouth City,DNC,DNC,DNC,DNC,DNC,51740,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"94,632","22,052","14,128","1,578","6,205","4,511",54,"5,768","27,224","17,540","59,323"
Powhatan,DNC,DNC,DNC,DNC,DNC,51145,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"29,189","5,323","5,324",380,"2,039","1,670",16,"2,191","9,293","1,931","4,100"
Prince Edward,B,0.3,1,0,0,51147,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"22,950","3,767","3,779",269,"1,635","1,147",13,"1,467","7,109","3,782","8,956"
Prince George,DNC,DNC,DNC,DNC,DNC,51149,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"38,082","8,222","5,347",588,"2,561","1,824",22,"2,301","11,149","3,019","17,322"
Prince William,C,1,3,0,0,51153,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"468,011","127,210","46,319","9,104","29,534","19,997",269,"24,216","125,931","29,545","271,371"
Pulaski,DNC,DNC,DNC,DNC,DNC,51155,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"34,066","6,007","7,814",429,"2,367","2,059",19,"2,804","11,081","4,791","3,108"
Radford City,DNC,DNC,DNC,DNC,DNC,51750,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"18,339","2,285","1,672",163,"1,388",767,10,873,"5,610","4,513","3,149"
Rappahannock,DNC,DNC,DNC,DNC,DNC,51157,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"7,252","1,178","1,981",84,507,475,4,665,"2,450",629,821
Richmond,DNC,DNC,DNC,DNC,DNC,51159,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"9,038","1,553","1,901",111,633,517,5,693,"2,899","1,169","3,576"
Richmond City,DNC,DNC,DNC,DNC,DNC,51760,A,0,0,0,0,0,INC,INC,"228,783","40,064","30,172","2,867","16,219","10,813",130,"13,346","69,162","48,424","133,599"
Roanoke,A,0,0,0,0,51161,A,0,0,0,0,0,Pass,6.7,"94,073","18,648","20,151","1,334","6,371","5,386",53,"7,281","29,517","6,145","13,644"
