County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Douglas,Colorado,342776,88978,40935,6368,22775,11168,139,14826,102766,8975,61999,53,4,0,19.7,F,3,1,0,0,1.5,C,6.2,PASS
El Paso,Colorado,713856,172064,91063,12315,49015,22736,290,30212,217978,68538,222362,11,0,0,3.7,F,2,0,0,0,0.7,B,6,PASS
Garfield,Colorado,59770,15072,7858,1079,4023,1962,24,2628,18101,4946,19175,2,1,0,1.2,C,0,0,0,0,0,A,INC,INC
Grand,Colorado,15525,2609,2732,187,1152,623,6,856,5310,1219,2000,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Gunnison,Colorado,17246,2931,2236,210,1299,578,7,760,5727,1678,2220,2,1,0,1.2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,Colorado,580233,114515,95477,8196,41776,21576,235,29476,190255,39799,127678,80,5,0,29.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
La Plata,Colorado,56310,10684,9668,765,4090,2139,23,2935,18677,5005,12182,16,0,0,5.3,F,5,9,1,0,6.8,F,8.4,PASS
Larimer,Colorado,350518,68703,54938,4917,25460,12323,142,16693,114131,36054,61373,42,4,0,16,F,1,1,0,0,0.8,B,7.3,PASS
Mesa,Colorado,153207,33045,29238,2365,10759,5864,62,8192,49537,21463,28885,4,0,0,1.3,C,1,0,0,0,0.3,B,5.9,PASS
Moffat,Colorado,13188,3418,2020,245,875,457,5,625,3997,1614,2590,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Montezuma,Colorado,26158,5756,5785,412,1811,1087,11,1550,8541,4235,7318,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Montrose,Colorado,42214,9120,9836,653,2935,1796,17,2578,13903,4854,10177,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Park,Colorado,18556,2810,3793,201,1389,835,8,1167,6578,1487,2052,4,0,0,1.3,C,2,0,0,0,0.7,B,INC,INC
Pueblo,Colorado,167529,37623,30988,2693,11628,6320,68,8807,53520,28127,80496,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,5.5,PASS
Rio Blanco,Colorado,6336,1506,985,108,433,224,3,306,1974,653,977,2,0,0,0.7,B,0,0,0,0,0,A,7.9,PASS
San Miguel,Colorado,8191,1438,1201,103,605,305,3,410,2746,702,1152,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Weld,Colorado,314305,82497,38224,5904,20952,9752,127,12935,93286,32314,108618,14,0,0,4.7,F,6,1,0,0,2.5,D,9.1,PASS
Fairfield,Connecticut,943823,212038,149918,20593,76126,39383,560,54861,291103,92971,363243,42,18,0,23,F,0,0,0,0,0,A,8.1,PASS
Hartford,Connecticut,892697,187304,152874,18191,72903,37913,530,53407,280026,96957,351528,10,1,0,3.8,F,0,0,0,0,0,A,7.5,PASS
Litchfield,Connecticut,181111,32933,38502,3198,15522,8888,108,12862,61124,12441,21609,12,1,0,4.5,F,1,0,0,0,0.3,B,4.2,PASS
Middlesex,Connecticut,162682,28777,33067,2795,13956,7758,97,11147,54545,10556,26484,26,3,0,10.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
New Haven,Connecticut,857620,173046,148886,16806,70700,36755,509,51816,271621,96563,322987,31,9,0,14.8,F,0,0,0,0,0,A,6.8,PASS
New London,Connecticut,266784,51733,48611,5024,22251,11781,159,16711,85901,25063,65967,21,3,0,8.5,F,0,0,0,0,0,A,INC,INC
Tolland,Connecticut,150921,26160,23845,2541,12817,6287,90,8681,48503,10835,23699,12,0,0,4,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Windham,Connecticut,117027,23202,19418,2253,9739,5032,70,7025,37262,13135,20797,13,1,0,4.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kent,Delaware,178550,40805,30483,2920,14080,9420,121,11922,57685,23966,69754,5,0,0,1.7,C,0,0,0,0,0,A,INC,INC
New Castle,Delaware,559335,120227,87028,8605,45228,29593,380,36633,183147,62976,241696,22,1,0,7.8,F,3,0,0,0,1,C,INC,INC
Sussex,Delaware,229286,42584,63575,3048,18083,15036,156,20944,82503,27750,56660,8,0,0,2.7,D,0,0,0,0,0,A,6.7,PASS
District of Columbia,District of Columbia,702455,127494,85303,13885,67121,30357,275,36404,199495,107806,442187,14,1,0,5.2,F,2,0,0,0,0.7,B,9,PASS
Alachua,Florida,269956,48541,37836,3616,19164,15388,151,18802,86310,50922,105796,1,0,0,0.3,B,0,0,0,0,0,A,6.3,PASS
Baker,Florida,28355,6715,4015,500,1908,1641,16,2082,8806,3944,5448,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bay,Florida,185287,39761,31678,2962,12837,11548,104,15034,60251,24276,44216,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Brevard,Florida,596849,108913,141345,8114,43092,42603,334,58240,209867,64854,154762,1,0,0,0.3,B,0,0,0,0,0,A,5.7,PASS
Broward,Florida,1951260,412789,324313,30754,135830,121311,1090,157257,635762,244310,1256553,5,0,0,1.7,C,0,0,0,0,0,A,6.6,PASS
Citrus,Florida,147929,22036,53705,1642,11016,12524,83,18233,56902,22082,18173,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Collier,Florida,378488,64794,121935,4827,27352,29654,212,42379,138432,39689,141797,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Columbia,Florida,70503,15312,13314,1141,4853,4472,40,5904,22990,11340,19550,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Duval,Florida,950181,214676,133483,15994,64667,54910,530,69179,297059,134476,450723,1,0,0,0.3,B,1,0,0,0,0.3,B,INC,INC
Escambia,Florida,315534,65784,53148,4901,21910,19334,177,24935,102101,43832,113022,3,0,0,1,C,0,0,0,0,0,A,7.4,PASS
Flagler,Florida,112067,18884,34428,1407,8183,8789,62,12492,41244,11450,28218,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Highlands,Florida,105424,17970,37222,1339,7586,8495,59,12315,38936,21577,35445,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hillsborough,Florida,1436888,323986,205315,24138,97850,83443,803,105402,450198,207358,743667,9,1,0,3.5,F,0,0,0,0,0,A,7.9,PASS
Holmes,Florida,19477,3938,3871,293,1369,1279,11,1701,6519,4232,2638,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Indian River,Florida,157413,25219,52019,1879,11568,12687,88,18204,58831,16775,39052,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lake,Florida,356495,68268,95109,5086,25249,25793,199,35876,124638,40582,109098,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lee,Florida,754610,132623,215894,9881,54399,56536,422,79279,270457,90400,250391,1,0,0,0.3,B,1,0,0,0,0.3,B,6.6,PASS
Leon,Florida,292502,54472,39155,4058,20635,16477,163,20048,92747,57656,127693,0,0,0,0,A,0,0,0,0,0,A,7.3,PASS
Liberty,Florida,8457,1512,1229,113,611,515,5,646,2798,1523,2436,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Manatee,Florida,394855,72121,108173,5373,28333,29240,220,40840,140444,40662,114856,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Marion,Florida,359977,66922,104178,4986,25605,26824,201,37756,127728,52818,107688,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Martin,Florida,160912,26388,49690,1966,11817,12698,90,18050,59572,16824,35430,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Miami-Dade,Florida,2761581,558250,448112,41591,194215,171072,1542,220114,904339,436103,2401789,7,0,0,2.3,D,1,0,0,0,0.3,B,8,PASS
Okaloosa,Florida,207269,46083,33189,3433,14141,12360,116,15854,65662,25612,55655,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Orange,Florida,1380645,305917,164820,22791,94243,76289,772,93319,425534,211307,831907,3,1,0,1.5,C,0,0,0,0,0,A,7.2,PASS
Osceola,Florida,367990,89835,48605,6693,24413,20439,206,25540,111571,48711,254727,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Palm Beach,Florida,1485941,283456,355266,21118,105463,103565,830,141344,512309,179359,682305,2,0,0,0.7,B,0,0,0,0,0,A,6.4,PASS
Pasco,Florida,539630,109651,122105,8169,37833,36867,301,50087,183202,67164,141208,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pinellas,Florida,975280,157672,241641,11747,72125,71655,544,98212,351963,112593,255246,1,0,0,0.3,B,0,0,0,0,0,A,7.3,PASS
Polk,Florida,708009,156487,143142,11659,48289,45154,396,60146,230084,109018,297726,6,0,0,2,C,0,0,0,0,0,A,6.9,PASS
St. Lucie,Florida,321128,63294,77503,4716,22646,22443,179,30756,110409,38398,139092,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Santa Rosa,Florida,179349,39352,28645,2932,12372,10983,101,14184,57775,16404,31748,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sarasota,Florida,426718,60616,156509,4516,31975,36276,238,52791,165020,43389,72475,2,0,0,0.7,B,0,0,0,0,0,A,6.7,PASS
Seminole,Florida,467832,98309,72533,7324,32569,28403,261,36334,151087,46050,189106,4,0,0,1.3,C,0,0,0,0,0,A,6.2,PASS
Volusia,Florida,547538,96836,133733,7214,39636,39194,306,53638,193067,70499,157810,0,0,0,0,A,0,0,0,0,0,A,6.6,PASS
Wakulla,Florida,32461,6945,5086,517,2260,2002,18,2581,10546,3543,6473,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bibb,Georgia,153095,37623,23876,2852,10333,8813,95,11232,43798,36326,95172,3,0,0,1,C,3,0,0,0,1,C,9.3,PASS
Chatham,Georgia,289195,61279,44478,4645,20274,16743,181,21065,85672,39488,149834,0,0,0,0,A,1,0,0,0,0.3,B,7.8,PASS
Chattooga,Georgia,24790,5555,4354,421,1731,1540,16,1998,7379,4575,4353,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clarke,Georgia,127330,21989,13959,1667,9179,6433,79,7441,38080,31645,57196,3,0,0,1,C,0,1,0,0,0.5,B,8.1,PASS
Clayton,Georgia,289615,80559,26997,6107,18739,14223,180,16817,77506,50072,261809,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,9.1,PASS
Cobb,Georgia,756865,178546,92777,13534,52002,41860,474,51282,217167,67585,367250,2,1,0,1.2,C,1,0,0,0,0.3,B,8.7,PASS
Coffee,Georgia,43093,10534,5930,799,2914,2395,27,2987,12256,9505,18230,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Columbia,Georgia,154291,39147,20833,2967,10335,8547,97,10665,43446,10858,49193,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Coweta,Georgia,145864,35765,20242,2711,9959,8433,91,10593,41875,14844,42590,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dawson,Georgia,25083,5186,5045,393,1797,1672,16,2214,7720,2168,2016,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
DeKalb,Georgia,756558,174942,94120,13261,52017,41366,471,50572,217418,106598,535786,8,0,0,2.7,D,1,1,0,0,0.8,B,8.6,PASS
Dougherty,Georgia,91243,21222,14027,1609,6229,5187,56,6556,26366,25104,68944,DNC,DNC,DNC,DNC,DNC,1,1,0,0,0.8,B,8.8,PASS
Douglas,Georgia,145331,37605,16774,2851,9725,7854,91,9601,40542,18113,88809,6,2,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Floyd,Georgia,97927,22702,16390,1721,6739,5857,61,7536,28659,19427,28490,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Fulton,Georgia,1050114,229407,122730,17390,73347,57077,657,68864,305399,137929,633490,21,1,0,7.5,F,1,0,0,0,0.3,B,10.1,PASS
Glynn,Georgia,85219,18521,17247,1404,5993,5553,53,7372,25802,13913,31187,0,0,0,0,A,2,0,0,0,0.7,B,7.2,PASS
Gwinnett,Georgia,927781,249129,93264,18885,61212,47918,582,57458,253730,84763,590670,6,0,0,2,C,1,0,0,0,0.3,B,9,PASS
Hall,Georgia,202148,51265,30106,3886,13547,11528,127,14625,57279,26249,80340,DNC,DNC,DNC,DNC,DNC,1,1,0,0,0.8,B,7.9,PASS
Henry,Georgia,230220,58952,26816,4469,15487,12578,144,15405,64571,17086,134022,13,1,0,4.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Houston,Georgia,155469,39714,19762,3010,10388,8453,97,10447,43529,18519,69011,DNC,DNC,DNC,DNC,DNC,3,0,0,0,1,C,8.3,PASS
Lowndes,Georgia,116321,27869,14366,2113,7807,5993,73,7267,32673,28539,54131,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.4,PASS
Murray,Georgia,39921,9891,5931,750,2710,2329,25,2956,11447,5987,7194,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Muscogee,Georgia,194160,48112,26004,3647,13016,10521,122,13041,54699,37759,116402,1,0,0,0.3,B,2,0,0,0,0.7,B,9.2,PASS
Paulding,Georgia,164044,42844,17394,3248,10946,8682,103,10487,45455,12654,49499,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Pike,Georgia,18634,4359,2969,330,1291,1131,12,1450,5469,1947,2410,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Richmond,Georgia,201554,46063,28342,3492,13849,11249,126,13995,58280,41554,132321,1,0,0,0.3,B,4,1,0,0,1.8,C,9.5,PASS
