County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
McHenry,Illinois,308570,72396,45024,4347,20605,15817,195,19921,91332,18136,59799,17,0,0,5.7,F,0,0,0,0,0,A,7.6,PASS
McLean,Illinois,172828,37136,22860,2230,11878,8277,109,10040,50773,23366,35797,2,0,0,0.7,B,0,0,0,0,0,A,8.7,PASS
Macon,Illinois,104712,23150,20960,1390,7061,5902,66,7612,32055,17557,24937,6,0,0,2,C,0,0,0,0,0,A,9,PASS
Macoupin,Illinois,45313,9644,9006,579,3089,2600,29,3363,14083,5740,1834,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Madison,Illinois,264461,57756,45485,3468,17974,14239,167,18086,80268,35925,40298,25,2,0,9.3,F,1,0,0,0,0.3,B,9.9,PASS
Peoria,Illinois,180621,42619,30816,2559,11997,9427,114,11931,53343,29227,54743,8,0,0,2.7,D,0,0,0,0,0,A,8.5,PASS
Randolph,Illinois,32106,6203,5972,372,2250,1806,21,2302,10083,3834,4881,3,0,0,1,C,0,0,0,0,0,A,8.4,PASS
Rock Island,Illinois,143477,31963,27672,1919,9665,7949,91,10203,43632,19754,41412,2,0,0,0.7,B,0,0,0,0,0,A,INC,INC
St. Clair,Illinois,261059,61073,41261,3667,17419,13467,165,16975,77184,38065,100558,9,1,0,3.5,F,0,0,0,0,0,A,9.7,PASS
Sangamon,Illinois,195348,43347,34887,2603,13202,10622,123,13556,59249,25172,38619,4,0,0,1.3,C,0,0,0,0,0,A,8.6,PASS
Will,Illinois,692310,172143,90406,10337,45481,33460,438,41517,198663,44038,256365,5,0,0,1.7,C,0,0,0,0,0,A,INC,INC
Winnebago,Illinois,284081,66490,49819,3993,18901,15178,179,19358,84760,45006,89449,5,1,0,2.2,D,0,0,0,0,0,A,INC,INC
Allen,Indiana,375351,96407,54718,8390,27609,24979,269,29997,125725,49641,99590,10,0,0,3.3,F,0,0,0,0,0,A,8.6,PASS
Bartholomew,Indiana,82753,19689,13487,1713,6239,5773,60,7019,28495,8238,15386,8,0,0,2.7,D,1,0,0,0,0.3,B,7.6,PASS
Boone,Indiana,66999,17718,8954,1542,4909,4486,48,5290,22323,3585,6615,9,0,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Brown,Indiana,15234,2732,3668,238,1252,1352,11,1691,5810,1519,687,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carroll,Indiana,20127,4451,3949,387,1562,1568,14,1932,7188,1756,1201,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clark,Indiana,117360,26376,18524,2295,9035,8391,84,10083,41223,12975,20078,12,0,0,4,F,0,0,0,0,0,A,9,PASS
Delaware,Indiana,114772,21074,19672,1834,9194,8142,82,9986,41911,23799,15212,5,0,0,1.7,C,1,0,0,0,0.3,B,7.9,PASS
Dubois,Indiana,42565,10277,7430,894,3218,3145,31,3825,14755,3155,4214,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.6,PASS
Elkhart,Indiana,205560,56565,30282,4923,14750,13493,148,16276,67254,23202,52263,10,0,0,3.3,F,2,0,0,0,0.7,B,8.3,PASS
Floyd,Indiana,77781,17609,12549,1532,5989,5657,56,6800,27357,7231,9564,16,0,0,5.3,F,0,0,0,0,0,A,INC,INC
Greene,Indiana,32006,7019,6248,611,2493,2512,23,3087,11473,4423,1103,7,0,0,2.3,D,0,0,0,0,0,A,7.9,PASS
Hamilton,Indiana,330086,89053,40862,7750,23994,21480,236,25130,108861,13797,54838,10,0,0,3.3,F,1,0,0,0,0.3,B,8.1,PASS
Hendricks,Indiana,167009,41780,23141,3636,12442,11279,120,13373,56582,9657,27120,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Henry,Indiana,48271,9877,9134,860,3818,3734,35,4576,17525,6434,3149,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.5,PASS
Howard,Indiana,82366,18680,16056,1626,6321,6250,59,7740,29080,9942,12346,INC,INC,INC,INC,INC,0,0,0,0,0,A,8.3,PASS
Huntington,Indiana,36240,7812,6230,680,2827,2697,26,3268,12934,3532,1985,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jackson,Indiana,44111,10835,7218,943,3306,3134,32,3796,15120,5183,5343,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Johnson,Indiana,156225,38713,22769,3369,11643,10548,112,12630,53005,11784,17578,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Knox,Indiana,36895,7921,6582,689,2864,2691,27,3302,13112,5447,2785,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lake,Indiana,484411,113194,80104,9851,36859,34784,346,42135,168517,74864,222969,12,1,0,4.5,F,2,1,1,0,1.8,C,9.4,PASS
LaPorte,Indiana,110007,23561,19692,2050,8582,8225,79,10039,39317,16212,23147,16,1,0,5.8,F,0,0,0,0,0,A,INC,INC
Madison,Indiana,129641,28038,23714,2440,10079,9700,93,11892,46215,20908,19694,7,0,0,2.3,D,1,0,0,0,0.3,B,8.3,PASS
Marion,Indiana,954670,235211,120358,20470,70986,60620,682,71598,321447,160661,431505,18,0,0,6,F,7,1,0,0,2.8,D,10.4,PASS
Monroe,Indiana,146917,22966,19249,1999,12037,9253,106,11071,54238,28177,24381,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.8,PASS
Morgan,Indiana,70116,15846,11874,1379,5429,5316,50,6391,24863,7339,2850,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Perry,Indiana,19102,4013,3590,349,1497,1450,14,1782,6869,2167,1160,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Porter,Indiana,169594,37424,27803,3257,13131,12330,122,14874,59981,14826,29129,19,0,0,6.3,F,0,1,0,0,0.5,B,7.7,PASS
Posey,Indiana,25540,5627,4799,490,1987,1980,18,2420,9130,2311,1073,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Joseph,Indiana,270771,64005,42783,5570,20430,18618,194,22570,93183,35068,75154,19,0,0,6.3,F,0,0,0,0,0,A,8.9,PASS
Shelby,Indiana,44593,10170,7644,885,3433,3332,32,4029,15724,5065,3495,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Spencer,Indiana,20327,4440,3932,386,1587,1600,15,1961,7300,1839,1066,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.4,PASS
Sullivan,Indiana,20690,3979,3718,346,1656,1561,15,1905,7576,2513,1724,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Tippecanoe,Indiana,193048,39983,22471,3480,14884,11360,139,13470,66978,32114,47441,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.1,PASS
Vanderburgh,Indiana,180974,39047,30573,3398,14042,13032,129,15856,64158,26349,29780,9,0,0,3,D,0,0,0,0,0,A,9.1,PASS
Vigo,Indiana,107386,21965,17517,1912,8404,7483,77,9114,38291,18824,15570,6,0,0,2,C,0,0,0,0,0,A,9,PASS
Wabash,Indiana,31280,6512,6526,567,2455,2451,22,3060,11316,3631,1767,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Warrick,Indiana,62567,14921,10947,1299,4744,4620,45,5624,21754,4373,4900,10,1,0,3.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Whitley,Indiana,34074,7899,6124,687,2607,2554,24,3116,11961,2377,1604,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.7,PASS
Black Hawk,Iowa,132408,28810,21719,1658,8216,5752,79,7803,42284,20811,25446,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.8,PASS
Bremer,Iowa,24947,5567,4886,320,1529,1182,15,1660,8023,1547,1251,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clinton,Iowa,46518,10602,9160,610,2839,2303,28,3224,14995,5727,4059,1,0,0,0.3,B,0,0,0,0,0,A,8.3,PASS
Delaware,Iowa,17069,4031,3292,232,1032,848,10,1182,5457,1521,629,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Harrison,Iowa,14134,3278,2785,189,858,706,8,988,4543,1347,569,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Johnson,Iowa,151260,30183,17736,1737,9670,5659,90,7160,48280,22536,33328,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.6,PASS
Lee,Iowa,34055,7297,6917,420,2113,1720,20,2415,11175,4758,3178,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.5,PASS
Linn,Iowa,225909,52510,35702,3022,13782,9969,134,13425,71163,20652,32676,4,0,0,1.3,C,1,0,0,0,0.3,B,8,PASS
Montgomery,Iowa,10003,2274,2144,131,609,514,6,732,3247,1360,668,0,0,0,0,A,0,0,0,0,0,A,6.5,PASS
Muscatine,Iowa,42929,10691,7145,615,2558,1931,26,2634,13314,4973,10116,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.3,PASS
Palo Alto,Iowa,8929,2037,1958,117,542,449,5,645,2884,834,638,2,0,0,0.7,B,0,0,0,0,0,A,6.7,PASS
Polk,Iowa,487204,121315,63631,6983,29203,19715,289,25704,148762,47499,111152,2,0,0,0.7,B,2,0,0,0,0.7,B,7.4,PASS
Pottawattamie,Iowa,93533,22030,16335,1268,5669,4343,56,5959,29594,10760,11737,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.9,PASS
Scott,Iowa,173283,41080,28142,2365,10501,7756,103,10506,54424,21030,35262,6,0,0,2,C,0,0,0,0,0,A,8.4,PASS
Story,Iowa,98105,16245,11812,935,6530,3622,59,4575,32414,16410,16343,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Van Buren,Iowa,7020,1601,1576,92,426,366,4,526,2282,917,287,0,0,0,0,A,0,0,0,0,0,A,6.9,PASS
Warren,Iowa,51056,12657,8025,729,3052,2249,30,3034,15805,3502,3087,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Woodbury,Iowa,102539,26742,15471,1539,6025,4326,61,5818,31072,13835,28376,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.7,PASS
Johnson,Kansas,597555,145643,86723,11120,44566,30438,337,39886,189480,32334,121136,0,0,0,0,A,0,0,0,0,0,A,7.4,PASS
Leavenworth,Kansas,81352,19284,11779,1472,6125,4159,46,5441,25996,7925,17116,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Neosho,Kansas,15951,3929,3164,300,1167,904,9,1243,5151,2271,1604,0,0,0,0,A,0,0,0,0,0,A,INC,INC
Sedgwick,Kansas,513607,131919,74487,10072,37686,25503,290,33529,159665,67722,165169,0,1,0,0.5,B,0,0,0,0,0,A,7.8,PASS
Shawnee,Kansas,177499,41950,32296,3203,13238,9780,100,13250,57584,24062,46674,0,0,0,0,A,0,0,0,0,0,A,8.5,PASS
Sumner,Kansas,22996,5667,4303,433,1685,1287,13,1752,7411,3016,2436,0,0,0,0,A,0,0,0,0,0,A,7.2,PASS
Trego,Kansas,2793,500,740,38,219,190,2,270,1005,316,151,0,0,0,0,A,0,0,0,0,0,A,INC,INC
Wyandotte,Kansas,165324,46051,20281,3516,11844,7635,93,9834,49497,30035,98310,4,1,0,1.8,C,1,0,0,0,0.3,B,9.1,PASS
Bell,Kentucky,26569,5646,5105,333,2390,2703,24,2861,10625,7998,1588,0,0,0,0,A,1,1,0,0,0.8,B,8.5,PASS
Boone,Kentucky,131533,34210,17804,2017,11121,11720,117,11883,49163,8371,16417,1,1,0,0.8,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Boyd,Kentucky,47240,10048,9221,592,4248,4830,42,5124,18895,8229,3249,3,0,0,1,C,0,0,0,0,0,A,7.6,PASS
Bullitt,Kentucky,81069,17795,12652,1049,7241,7836,72,8043,32032,7596,4649,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Campbell,Kentucky,93152,19395,14549,1143,8391,8846,82,9076,37236,11741,7249,6,0,0,2,C,0,0,0,0,0,A,8,PASS
Carter,Kentucky,27004,6077,5065,358,2389,2693,24,2847,10624,8154,920,0,0,0,0,A,1,0,0,0,0.3,B,6.4,PASS
Christian,Kentucky,71671,19263,8791,1136,5839,5419,64,5452,26155,11906,24824,0,0,0,0,A,0,0,0,0,0,A,8.2,PASS
Daviess,Kentucky,101104,24735,17128,1458,8700,9528,89,9963,38671,15026,12362,2,1,0,1.2,C,0,0,0,0,0,A,8.4,PASS
Edmonson,Kentucky,12274,2253,2546,133,1143,1301,11,1387,5090,2110,643,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Fayette,Kentucky,323780,67639,43214,3987,28861,28195,287,28335,128453,45485,94095,0,0,0,0,A,0,0,0,0,0,A,INC,INC
Greenup,Kentucky,35268,7535,7388,444,3167,3674,31,3942,14111,5747,1375,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hancock,Kentucky,8758,2238,1486,132,746,836,8,874,3309,1038,414,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hardin,Kentucky,110356,27155,15397,1601,9475,9877,98,10038,41975,14254,26889,1,0,0,0.3,B,0,0,0,0,0,A,8.2,PASS
Henderson,Kentucky,45591,10568,8012,623,4002,4456,40,4668,17765,7235,6219,6,0,0,2,C,1,0,0,0,0.3,B,8.8,PASS
Jefferson,Kentucky,770517,170791,124503,10068,68156,72482,680,74957,302915,115810,254471,24,3,0,9.5,F,0,0,0,0,0,A,9.4,PASS
Jessamine,Kentucky,53920,12999,8087,766,4662,4946,48,5074,20673,6562,6149,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Livingston,Kentucky,9242,1883,2006,111,845,1007,8,1082,3756,1268,443,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
McCracken,Kentucky,65346,14650,12940,864,5778,6573,58,7011,25748,9423,10949,1,0,0,0.3,B,1,0,0,0,0.3,B,8.3,PASS
Madison,Kentucky,92368,19144,12737,1129,8258,8154,82,8229,36752,14065,9613,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Morgan,Kentucky,13345,2438,2235,144,1243,1331,12,1373,5514,3102,994,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Oldham,Kentucky,66470,16937,8777,998,5688,6064,59,6115,25060,3463,7813,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Perry,Kentucky,26092,5984,4429,353,2302,2557,23,2662,10200,7355,1217,0,0,0,0,A,0,1,0,0,0.5,B,7.6,PASS
Pike,Kentucky,58402,12021,10962,709,5310,6004,52,6318,23560,13499,1833,0,0,0,0,A,2,0,0,0,0.7,B,7.2,PASS
Pulaski,Kentucky,64623,14373,12130,847,5745,6500,57,6865,25522,12392,3811,0,0,0,0,A,0,0,0,0,0,A,7.7,PASS
Simpson,Kentucky,18529,4466,3056,263,1605,1757,16,1827,7123,2271,2775,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Trigg,Kentucky,14643,3206,3259,189,1312,1576,13,1707,5840,1901,1766,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Warren,Kentucky,131264,30099,16896,1774,11387,11049,116,11090,50704,20486,29111,0,0,0,0,A,0,0,0,0,0,A,8.1,PASS
Washington,Kentucky,12084,2878,2176,170,1055,1197,11,1259,4678,1644,1533,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ascension Parish,Louisiana,124672,33371,14734,2920,8326,8809,81,9828,39309,13341,39717,9,0,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bossier Parish,Louisiana,127185,31589,18240,2764,8613,9258,83,10615,41148,17888,42942,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Caddo Parish,Louisiana,242922,57537,41606,5035,16568,18803,157,22419,80865,52996,134679,0,0,0,0,A,2,0,0,0,0.7,B,10.4,PASS
Calcasieu Parish,Louisiana,203112,50566,30057,4425,13742,15049,132,17430,66031,29744,66679,6,0,0,2,C,1,0,0,0,0.3,B,7.8,PASS
East Baton Rouge Parish,Louisiana,440956,99927,62528,8744,30745,32399,285,36720,145964,71761,245155,18,0,0,6,F,4,0,0,0,1.3,C,9.1,PASS
Iberville Parish,Louisiana,32721,6743,5181,590,2342,2595,21,3021,11289,6880,17178,9,0,0,3,D,0,1,0,0,0.5,B,8.5,PASS
Jefferson Parish,Louisiana,434051,95458,74330,8353,30340,34465,281,40959,147899,67200,206828,4,0,0,1.3,C,0,0,0,0,0,A,7.4,PASS
Lafayette Parish,Louisiana,242782,57350,32067,5018,16809,17753,157,19972,79598,36301,84123,1,0,0,0.3,B,0,0,0,0,0,A,7.9,PASS
Lafourche Parish,Louisiana,98115,22793,15168,1994,6789,7561,64,8825,32780,15989,22780,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Livingston Parish,Louisiana,139567,35715,18422,3125,9418,10114,91,11477,44810,15562,17575,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Orleans Parish,Louisiana,391006,78086,57760,6833,28256,30204,252,34414,134593,90329,270766,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8,PASS
Ouachita Parish,Louisiana,154475,38427,22847,3363,10450,11410,100,13203,50179,31790,64840,0,0,0,0,A,0,0,0,0,0,A,8,PASS
Pointe Coupee Parish,Louisiana,21940,4793,4516,419,1519,1839,14,2282,7606,4428,8717,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rapides Parish,Louisiana,130562,32250,21375,2822,8811,9954,85,11796,42873,24641,50765,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
St. Bernard Parish,Louisiana,46721,12440,5340,1089,3126,3251,30,3589,14683,9306,17722,5,0,0,1.7,C,0,0,0,0,0,A,8.3,PASS
St. James Parish,Louisiana,21037,4748,3610,415,1461,1677,14,2002,7142,3492,10886,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. John the Baptist Parish,Louisiana,43184,10617,6144,929,2950,3256,28,3756,14163,7766,28513,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Martin Parish,Louisiana,53621,12978,8057,1136,3669,4088,35,4761,17702,10179,18995,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Tammany Parish,Louisiana,258111,61917,43694,5418,17603,20343,167,24330,86210,30253,55792,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tangipahoa Parish,Louisiana,133777,32761,19230,2867,9110,9843,87,11300,43567,23304,49317,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.4,PASS
Terrebonne Parish,Louisiana,111021,28090,15984,2458,7492,8238,72,9522,35984,18950,36999,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.2,PASS
West Baton Rouge Parish,Louisiana,26427,6461,3607,565,1809,1955,17,2229,8629,3299,11811,8,0,0,2.7,D,0,0,0,0,0,A,9.2,PASS
Androscoggin,Maine,107679,23332,19091,1722,10438,6605,80,8501,41811,12838,10352,0,0,0,0,A,0,0,0,0,0,A,6.1,PASS
Aroostook,Maine,67111,12226,16196,902,6601,4679,50,6319,27614,9988,4061,0,0,0,0,A,0,2,0,0,1,C,7,PASS
Cumberland,Maine,293557,54796,54161,4044,29601,18586,218,23919,118220,23332,28318,2,0,0,0.7,B,0,0,0,0,0,A,6.6,PASS
Franklin,Maine,29897,5235,6705,386,2998,2038,22,2711,12339,4141,1285,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Hancock,Maine,54811,9364,13489,691,5465,3878,41,5242,22867,6233,2934,8,1,0,3.2,D,0,0,0,0,0,A,3.7,PASS
Kennebec,Maine,122083,23566,24350,1739,12071,7955,91,10403,49097,13290,6643,0,0,0,0,A,0,0,0,0,0,A,5.5,PASS
Knox,Maine,39771,7081,10057,523,3924,2803,30,3815,16461,4209,1939,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Oxford,Maine,57618,10624,12483,784,5693,3925,43,5202,23565,9490,2785,0,0,0,0,A,0,0,0,0,0,A,6.4,PASS
Penobscot,Maine,151096,27394,28204,2022,15332,9637,113,12413,61257,21154,9578,0,0,0,0,A,0,0,0,0,0,A,5.8,PASS
Washington,Maine,31490,5938,7687,438,3069,2187,23,2964,12864,5613,3324,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
York,Maine,206229,38565,42233,2846,20501,13624,154,17877,83647,18133,12164,4,1,0,1.8,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Anne Arundel,Maryland,576031,128107,84550,9687,42383,25408,315,37074,161525,39231,186967,23,0,0,7.7,F,INC,INC,INC,INC,INC,INC,INC,INC
Baltimore,Maryland,828431,178931,142310,13531,60923,38537,451,57147,237801,79482,359919,33,5,1,14.2,F,0,0,0,0,0,A,8,PASS
Calvert,Maryland,92003,21300,13687,1611,6678,4196,50,6139,25984,4912,20253,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carroll,Maryland,168429,36532,28378,2763,12380,8057,92,11918,48947,9828,19008,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cecil,Maryland,102826,23268,16186,1760,7494,4747,56,6981,29266,8406,15540,23,2,0,8.7,F,0,0,0,0,0,A,7.8,PASS
Charles,Maryland,161503,38703,20198,2927,11697,6879,88,9899,44200,10487,99163,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dorchester,Maryland,31998,6752,6911,511,2330,1656,17,2516,9602,4851,11974,4,1,0,1.8,C,0,0,0,0,0,A,7.1,PASS
Frederick,Maryland,255648,59180,36972,4475,18590,11311,140,16499,71306,15552,69902,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Garrett,Maryland,29163,5426,6524,410,2190,1567,16,2381,9054,3483,1068,0,0,0,0,A,0,0,0,0,0,A,5.7,PASS
Harford,Maryland,253956,56335,41128,4260,18591,11781,139,17369,72620,17528,62121,27,3,0,10.5,F,1,0,0,0,0.3,B,7.6,PASS
Howard,Maryland,323196,78743,44629,5954,23168,13918,176,20239,88372,16874,158169,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,9.1,PASS
Kent,Maryland,19383,3066,5177,232,1487,1109,11,1715,6274,2329,4267,10,0,0,3.3,F,0,0,0,0,0,A,7,PASS
Montgomery,Maryland,1052567,244355,163516,18478,76171,47126,573,69273,294362,72247,595735,3,0,0,1,C,0,0,0,0,0,A,7,PASS
Prince George’s,Maryland,909308,202301,120600,15298,67250,38802,495,56021,252079,73777,795954,22,1,0,7.8,F,0,0,0,0,0,A,7,PASS
Washington,Maryland,150926,32969,26006,2493,11058,7099,83,10533,43453,15871,32881,4,0,0,1.3,C,1,0,0,0,0.3,B,7.7,PASS
Baltimore City,Maryland,602495,123177,84387,9315,45538,25702,327,37219,169118,109306,435247,14,1,0,5.2,F,2,0,0,0,0.7,B,8.4,PASS
Barnstable,Massachusetts,213413,32172,65299,2065,18134,11789,122,18089,77552,16661,21843,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Berkshire,Massachusetts,126348,21362,29398,1371,10616,6057,73,9020,42865,13673,15393,INC,INC,INC,INC,INC,1,0,0,0,0.3,B,5.9,PASS
Bristol,Massachusetts,564022,116099,95464,7452,45673,23133,324,33362,175717,59147,99268,19,1,0,6.8,F,0,0,0,0,0,A,6.1,PASS
Dukes,Massachusetts,17352,3042,4219,195,1442,849,10,1273,5911,1316,2209,7,2,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Essex,Massachusetts,790638,168488,134796,10814,63406,32338,454,46729,244625,82387,241022,10,0,0,3.3,F,0,0,0,0,0,A,5.1,PASS
Franklin,Massachusetts,70963,12407,15624,796,5921,3326,41,4929,23798,7395,6799,3,0,0,1,C,0,0,0,0,0,A,5.2,PASS
Hampden,Massachusetts,470406,101140,79049,6491,37770,18884,270,27193,144014,76016,180153,11,1,0,4.2,F,0,0,0,0,0,A,5.2,PASS
Hampshire,Massachusetts,161355,23689,27808,1520,14215,6687,92,9510,52429,15397,26743,8,1,0,3.2,D,0,0,0,0,0,A,5.1,PASS
Middlesex,Massachusetts,1614714,318831,246388,20463,133149,63092,927,89492,496382,113717,459018,1,0,0,0.3,B,INC,INC,INC,INC,INC,INC,INC,INC
Norfolk,Massachusetts,705388,147749,118882,9483,56882,28764,405,41474,218600,44959,180270,8,0,0,2.7,D,INC,INC,INC,INC,INC,INC,INC,INC
Plymouth,Massachusetts,518132,110660,93864,7102,41323,21924,297,31965,162570,31285,94913,8,0,0,2.7,D,0,0,0,0,0,A,5.4,PASS
Suffolk,Massachusetts,807252,134089,96651,8606,70404,28432,463,38572,243931,133144,444449,4,0,0,1.3,C,0,0,0,0,0,A,7.7,PASS
Worcester,Massachusetts,830839,174732,129978,11215,66986,33064,477,47301,255325,72636,198685,11,0,0,3.7,F,0,0,0,0,0,A,5.8,PASS
Allegan,Michigan,117327,28372,19414,2436,9909,7890,72,8878,40692,12429,13834,21,0,0,7,F,0,0,0,0,0,A,7.4,PASS
Bay,Michigan,103923,21084,21195,1810,9126,7591,63,8849,38136,16044,10502,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.9,PASS
Benzie,Michigan,17753,3239,4639,278,1568,1445,11,1761,6806,1812,1152,9,1,0,3.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Berrien,Michigan,154141,33571,30402,2882,13298,10971,94,12758,55419,23151,38978,22,0,0,7.3,F,INC,INC,INC,INC,INC,INC,INC,INC
Cass,Michigan,51653,10646,10862,914,4504,3870,32,4523,19009,5727,7086,22,0,0,7.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Chippewa,Michigan,37517,6877,6742,590,3414,2594,23,2955,13863,5608,11418,1,0,0,0.3,B,0,0,0,0,0,A,INC,INC
Clinton,Michigan,79332,17756,13442,1524,6860,5432,48,6120,28132,5896,8213,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Genesee,Michigan,406892,91550,71136,7859,35057,27953,247,31730,144190,75251,111832,12,0,0,4,F,0,0,0,0,0,A,7.2,PASS
